location,population,highest_infection_count,percent_population_infected
Cyprus,896007,618248,69
San Marino,33690,22406,66.51
Faeroe Islands,53117,34658,65.25
Austria,8939617,5583979,62.46
Gibraltar,32677,20207,61.84
Slovenia,2119843,1264000,59.63
Andorra,79843,47219,59.14
Brunei,449002,257921,57.44
Denmark,5882259,3358726,57.1
France,67813000,38118377,56.21
Saint Pierre and Miquelon,5885,3282,55.77
Iceland,372903,207101,55.54
Portugal,10270857,5546290,54
Liechtenstein,39355,20984,53.32
South Korea,51815808,27408854,52.9
Latvia,1850654,965678,52.18
Greece,10384972,5404690,52.04
Falkland Islands,3801,1930,50.78
Israel,9449000,4729605,50.05
Switzerland,8740471,4337983,49.63
Netherlands,17564020,8555592,48.71
Georgia,3744385,1806918,48.26
Luxembourg,647601,307523,47.49
Bahrain,1472237,696851,47.33
Slovakia,5643455,2651069,46.98
Seychelles,107135,50068,46.73
Lithuania,2750058,1277579,46.46
Estonia,1326064,609297,45.95
Cayman Islands,68722,31359,45.63
Montenegro,627082,283844,45.26
Isle of Man,84534,38008,44.96
Germany,83369840,36604648,43.91
Czechia,10493990,4561350,43.47
Monaco,36491,15598,42.74
Bonaire Sint Eustatius and Saba,27052,11555,42.71
Italy,59037472,24488080,41.48
Aruba,106459,44145,41.47
Australia,26177410,10759272,41.1
Saint Helena,5401,2162,40.03
Belgium,11655923,4644478,39.85
European Union,450146793,178370642,39.62
Singapore,5637022,2173172,38.55
New Zealand,5185289,1979786,38.18
Cook Islands,17032,6389,37.51
Marshall Islands,41593,15541,37.36
Barbados,281646,104416,37.07
Nauru,12691,4621,36.41
United Kingdom,67508936,24024746,35.59
Maldives,523798,185632,35.44
Serbia,6871547,2426176,35.31
Taiwan,23893396,8379467,35.07
Ireland,5023108,1680548,33.46
Palau,18084,5896,32.6
High income,1250514600,405707465,32.44
Europe,744807803,241224141,32.39
Montserrat,4413,1403,31.79
Croatia,4030361,1254857,31.14
Wallis and Futuna,11596,3415,29.45
United States,338289856,99023619,29.27
Mongolia,3398373,993372,29.23
Oceania,45038860,13140224,29.18
Uruguay,3422796,995402,29.08
Hong Kong,7488863,2167484,28.94
Bermuda,64207,18519,28.84
Spain,47558632,13614807,28.63
Norway,5434324,1469778,27.05
New Caledonia,289959,76187,26.28
Finland,5540745,1405255,25.36
French Polynesia,306292,77275,25.23
Chile,19603736,4939304,25.2
Sweden,10549349,2632091,24.95
Tuvalu,11335,2828,24.95
Anguilla,15877,3904,24.59
Curacao,191173,45986,24.05
British Virgin Islands,31332,7305,23.31
Panama,4408582,1009252,22.89
Lebanon,5489744,1220800,22.24
Costa Rica,5180836,1148914,22.18
Hungary,9967304,2166352,21.73
Malta,533293,115891,21.73
Dominica,72758,15760,21.66
Mauritius,1299478,281163,21.64
Argentina,45510324,9739856,21.4
Greenland,56494,11971,21.19
Japan,123951696,25290215,20.4
Turkey,85341248,16919638,19.83
North America,600323657,117229251,19.53
Micronesia (country),114178,22203,19.45
Bulgaria,6781955,1287988,18.99
Moldova,3272993,595073,18.18
Qatar,2695131,481296,17.86
Belize,405285,69117,17.05
Romania,19659270,3298738,16.78
Saint Lucia,179872,29711,16.52
North Macedonia,2093606,344872,16.47
Brazil,215313504,35396191,16.44
Armenia,2780472,445828,16.03
Poland,39857144,6354511,15.94
Grenada,125459,19631,15.65
Kuwait,4268886,662747,15.53
Jordan,11285875,1746997,15.48
Kosovo,1782115,272214,15.27
Tonga,106867,16182,15.14
South America,436816679,65289646,14.95
Malaysia,33938216,5001908,14.74
Russia,144713312,21316663,14.73
Ukraine,39701744,5647889,14.23
Turks and Caicos Islands,45726,6446,14.1
Saint Kitts and Nevis,47681,6556,13.75
Palestine,5250076,703036,13.39
Suriname,618046,81581,13.2
Peru,34049588,4300576,12.63
Botswana,2630300,328760,12.5
Bosnia and Herzegovina,3233530,400601,12.39
Colombia,51874028,6314107,12.17
Trinidad and Tobago,1531043,185377,12.11
Albania,2842318,333413,11.73
Vietnam,98186856,11518149,11.73
Canada,38454328,4444912,11.56
Paraguay,6780745,777525,11.47
United Arab Emirates,9441138,1044843,11.07
Cape Verde,593162,63085,10.64
Belarus,9534956,994037,10.43
Cuba,11212198,1111447,9.91
Antigua and Barbuda,93772,9106,9.71
Tunisia,12356116,1147072,9.28
Bahamas,409989,37491,9.14
Saint Vincent and the Grenadines,103959,9474,9.11
Bolivia,12224114,1112501,9.1
Guyana,808727,71650,8.86
Oman,4576300,399119,8.72
Iran,88550568,7559924,8.54
World,7975105024,645700580,8.1
Bhutan,782457,62512,7.99
Azerbaijan,10358078,824512,7.96
Kazakhstan,19397998,1487167,7.67
Libya,6812344,507100,7.44
Fiji,929769,68451,7.36
Samoa,222390,15968,7.18
South Africa,59893884,4043017,6.75
Namibia,2567024,169946,6.62
Thailand,71697024,4711528,6.57
Guatemala,17843914,1160363,6.5
Eswatini,1201680,73908,6.15
Dominican Republic,11228821,650990,5.8
Ecuador,18001002,1011132,5.62
Mexico,127504120,7145409,5.6
Upper middle income,2525921300,140871922,5.58
Iraq,44496124,2464375,5.54
Jamaica,2827382,152517,5.39
Honduras,10432858,458921,4.4
Asia,4721383370,196377508,4.16
Vanuatu,326744,11981,3.67
Vatican,808,29,3.59
Philippines,115559008,4042182,3.5
Morocco,37457976,1269391,3.39
Solomon Islands,724272,24575,3.39
Nepal,30547586,1000911,3.28
El Salvador,6336393,201785,3.18
India,1417173120,44675006,3.15
Kyrgyzstan,6630621,206543,3.11
Sri Lanka,21832150,671714,3.08
Laos,7529477,216919,2.88
Lower middle income,3432097300,96827040,2.82
Sao Tome and Principe,227393,6278,2.76
Kiribati,131237,3430,2.61
Indonesia,275501344,6682437,2.43
Saudi Arabia,36408824,825859,2.27
Gabon,2388997,48973,2.05
Venezuela,28301700,547891,1.94
Timor,1341298,23355,1.74
Zambia,20017670,333746,1.67
Zimbabwe,16320539,259164,1.59
Lesotho,2305826,34490,1.5
Djibouti,1120851,15690,1.4
Mauritania,4736146,63421,1.34
Bangladesh,171186368,2036663,1.19
Myanmar,54179312,633324,1.17
Comoros,836783,8968,1.07
Equatorial Guinea,1674916,17183,1.03
Rwanda,13776702,132762,0.96
Africa,1426736614,12439089,0.87
Cambodia,16767851,138157,0.82
Uzbekistan,34627648,247304,0.71
Mozambique,32969520,230624,0.7
Pakistan,235824864,1575354,0.67
Kenya,54027484,341933,0.63
Algeria,44903228,271113,0.6
Ghana,33475870,171023,0.51
Senegal,17316452,88873,0.51
Afghanistan,41128772,206273,0.5
Gambia,2705995,12586,0.47
Egypt,110990096,515645,0.46
